136 6
filename num_threads num_ops num_float_ops num_comp_ops num_lambda_iter deepest_loop_level num_int_var num_float_var num_if_stmts num_if_stmts_in_loop time_seq(s) time_par(s)
../functions/mat_mat2.hpp 1 1001004 500000 250502 500 2 2 0 0 0 0.740094 0.578873
../functions/mat_mat2.hpp 2 1001004 500000 250502 500 2 2 0 0 0 0.709824 0.35987
../functions/mat_mat2.hpp 4 1001004 500000 250502 500 2 2 0 0 0 0.718082 0.257954
../functions/mat_mat2.hpp 6 1001004 500000 250502 500 2 2 0 0 0 0.72285 0.263161
../functions/mat_mat2.hpp 8 1001004 500000 250502 500 2 2 0 0 0 0.743359 0.239462
../functions/mat_mat2.hpp 10 1001004 500000 250502 500 2 2 0 0 0 0.728017 0.332898
../functions/mat_mat2.hpp 12 1001004 500000 250502 500 2 2 0 0 0 0.733306 0.364585
../functions/mat_mat2.hpp 14 1001004 500000 250502 500 2 2 0 0 0 0.720045 0.407241
../functions/mat_mat2.hpp 16 1001004 500000 250502 500 2 2 0 0 0 0.737085 0.422168
../functions/mat_mat2.hpp 18 1001004 500000 250502 500 2 2 0 0 0 0.722365 0.434071
../functions/mat_mat2.hpp 20 1001004 500000 250502 500 2 2 0 0 0 0.708211 0.421937
../functions/mat_mat2.hpp 22 1001004 500000 250502 500 2 2 0 0 0 0.871252 0.421063
../functions/mat_mat2.hpp 24 1001004 500000 250502 500 2 2 0 0 0 0.895712 0.416188
../functions/mat_mat2.hpp 26 1001004 500000 250502 500 2 2 0 0 0 0.925511 0.426408
../functions/mat_mat2.hpp 28 1001004 500000 250502 500 2 2 0 0 0 0.945718 0.44267
../functions/mat_mat2.hpp 30 1001004 500000 250502 500 2 2 0 0 0 0.980337 0.433891
../functions/mat_mat2.hpp 32 1001004 500000 250502 500 2 2 0 0 0 1.01196 0.445139
../functions/mat_mat3.hpp 1 40204 20000 10102 100 2 2 0 0 0 0.0107614 0.0095758
../functions/mat_mat3.hpp 2 40204 20000 10102 100 2 2 0 0 0 0.0107189 0.00867994
../functions/mat_mat3.hpp 4 40204 20000 10102 100 2 2 0 0 0 0.0108885 0.0105903
../functions/mat_mat3.hpp 6 40204 20000 10102 100 2 2 0 0 0 0.0105962 0.00990014
../functions/mat_mat3.hpp 8 40204 20000 10102 100 2 2 0 0 0 0.0102656 0.011794
../functions/mat_mat3.hpp 10 40204 20000 10102 100 2 2 0 0 0 0.0101289 0.0180776
../functions/mat_mat3.hpp 12 40204 20000 10102 100 2 2 0 0 0 0.0110823 0.020318
../functions/mat_mat3.hpp 14 40204 20000 10102 100 2 2 0 0 0 0.00605706 0.0208418
../functions/mat_mat3.hpp 16 40204 20000 10102 100 2 2 0 0 0 0.0103705 0.0221103
../functions/mat_mat3.hpp 18 40204 20000 10102 100 2 2 0 0 0 0.0102174 0.0200337
../functions/mat_mat3.hpp 20 40204 20000 10102 100 2 2 0 0 0 0.0127071 0.0183489
../functions/mat_mat3.hpp 22 40204 20000 10102 100 2 2 0 0 0 0.00981633 0.0179526
../functions/mat_mat3.hpp 24 40204 20000 10102 100 2 2 0 0 0 0.0115904 0.020056
../functions/mat_mat3.hpp 26 40204 20000 10102 100 2 2 0 0 0 0.012549 0.0225016
../functions/mat_mat3.hpp 28 40204 20000 10102 100 2 2 0 0 0 0.0121833 0.0238917
../functions/mat_mat3.hpp 30 40204 20000 10102 100 2 2 0 0 0 0.0125692 0.0200354
../functions/mat_mat3.hpp 32 40204 20000 10102 100 2 2 0 0 0 0.0131549 0.021382
../functions/mat_mat4.hpp 1 40204 20000 10102 100 2 2 0 0 0 0.0109225 0.00988666
../functions/mat_mat4.hpp 2 40204 20000 10102 100 2 2 0 0 0 0.0108953 0.00944331
../functions/mat_mat4.hpp 4 40204 20000 10102 100 2 2 0 0 0 0.0106837 0.00810927
../functions/mat_mat4.hpp 6 40204 20000 10102 100 2 2 0 0 0 0.0108507 0.0107616
../functions/mat_mat4.hpp 8 40204 20000 10102 100 2 2 0 0 0 0.0102398 0.0133792
../functions/mat_mat4.hpp 10 40204 20000 10102 100 2 2 0 0 0 0.0104496 0.0207356
../functions/mat_mat4.hpp 12 40204 20000 10102 100 2 2 0 0 0 0.0105138 0.020547
../functions/mat_mat4.hpp 14 40204 20000 10102 100 2 2 0 0 0 0.00608394 0.0197541
../functions/mat_mat4.hpp 16 40204 20000 10102 100 2 2 0 0 0 0.0098817 0.0227088
../functions/mat_mat4.hpp 18 40204 20000 10102 100 2 2 0 0 0 0.0101626 0.0210856
