104 6 10
NTop NFop NCop DDL Nite Nthr 0.01 0.02 0.05 0.07 0.1 0.2 0.25 0.5 0.005 0.0025
4887406 1281600 40103 2 400 4 0.0964389 0.0968453 0.106014 0.179707 0.106161 0.140575 0.160402 0.175668 0.0945434 0.0972598 
4887406 1281600 40103 2 400 5 0.0757818 0.0756305 0.0741785 0.182229 0.0742309 0.145888 0.136653 0.181972 0.0738792 0.0737586 
4887406 1281600 40103 2 400 6 0.0654813 0.0734624 0.0741447 0.182388 0.0742572 0.12573 0.112704 0.182545 0.0659468 0.0669638 
4887406 1281600 40103 2 400 7 0.0595667 0.0574331 0.0767296 0.190122 0.0767881 0.137511 0.135568 0.194377 0.060285 0.0597845 
4887406 1281600 40103 2 400 8 0.0550061 0.0571257 0.0764988 0.189649 0.0763126 0.114789 0.123202 0.189191 0.0526806 0.0538019 
4887406 1281600 40103 2 400 9 0.0461428 0.0570139 0.0761697 0.207531 0.0762329 0.105403 0.122394 0.191346 0.0459813 0.0458579 
4887406 1281600 40103 2 400 10 0.0427012 0.040217 0.0765136 0.190995 0.0766275 0.0989211 0.106599 0.189515 0.0427819 0.0435598 
4887406 1281600 40103 2 400 11 0.0402535 0.0387074 0.0763297 0.190388 0.0755218 0.113712 0.120643 0.188941 0.0405332 0.0402772 
4887406 1281600 40103 2 400 12 0.0369338 0.0397952 0.0754908 0.188566 0.0765319 0.104993 0.113564 0.186675 0.0381722 0.0377377 
4887406 1281600 40103 2 400 13 0.0311427 0.038551 0.0759277 0.188702 0.0753462 0.112187 0.0947269 0.187432 0.030706 0.0324864 
4887406 1281600 40103 2 400 14 0.0307445 0.0388555 0.075777 0.18781 0.0759803 0.107107 0.144096 0.188581 0.0304685 0.030501 
7634256 2002000 62628 2 500 2 0.341897 0.339253 0.342445 0.334068 0.339135 0.398511 0.339585 0.343321 0.341888 0.341429 
7634256 2002000 62628 2 500 3 0.234174 0.234508 0.272139 0.345538 0.274151 0.276159 0.342149 0.347643 0.233621 0.234011 
7634256 2002000 62628 2 500 4 0.178379 0.177943 0.205989 0.380452 0.204184 0.276912 0.334575 0.355276 0.180166 0.177975 
7634256 2002000 62628 2 500 5 0.152953 0.157746 0.148945 0.392265 0.149379 0.284166 0.305157 0.357435 0.14911 0.148263 
7634256 2002000 62628 2 500 6 0.129631 0.142477 0.147599 0.393605 0.147311 0.245311 0.273959 0.399778 0.12764 0.12668 
7634256 2002000 62628 2 500 7 0.113259 0.115272 0.153146 0.372478 0.152809 0.269111 0.230224 0.374541 0.1157 0.114971 
7634256 2002000 62628 2 500 8 0.0962826 0.110511 0.152722 0.374277 0.151879 0.223897 0.249632 0.374846 0.0958616 0.0965658 
7634256 2002000 62628 2 500 9 0.0917528 0.109053 0.149602 0.372035 0.151544 0.220625 0.22843 0.382472 0.0923911 0.0927939 
7634256 2002000 62628 2 500 10 0.0836396 0.106858 0.154258 0.377827 0.153597 0.244833 0.241196 0.373304 0.0826757 0.0819598 
7634256 2002000 62628 2 500 11 0.0718012 0.0805964 0.152191 0.367928 0.149647 0.207785 0.24786 0.375704 0.0716217 0.0715697 
7634256 2002000 62628 2 500 12 0.0706526 0.0786458 0.151655 0.37522 0.149644 0.219401 0.247247 0.373626 0.0698819 0.070142 
7634256 2002000 62628 2 500 13 0.0656354 0.0802702 0.14972 0.387707 0.151373 0.191065 0.202691 0.374656 0.0659454 0.0663094 
7634256 2002000 62628 2 500 14 0.0610975 0.0805183 0.150715 0.368989 0.149653 0.252414 0.205009 0.397961 0.066142 0.0692342 
10991106 2882400 90153 2 600 2 0.580448 0.580004 0.584365 0.572814 0.580148 0.68869 0.579909 0.58218 0.578812 0.585506 
10991106 2882400 90153 2 600 3 0.405327 0.399563 0.475114 0.722378 0.474782 0.476425 0.592078 0.60117 0.400043 0.409885 
10991106 2882400 90153 2 600 4 0.317339 0.321931 0.357512 0.5951 0.366641 0.475783 0.452697 0.65548 0.335282 0.316754 
10991106 2882400 90153 2 600 5 0.257051 0.254629 0.249825 0.671102 0.248501 0.465362 0.521326 0.67144 0.251898 0.255631 
10991106 2882400 90153 2 600 6 0.220014 0.244368 0.247039 0.743279 0.248644 0.420561 0.460685 0.612951 0.216112 0.216834 
10991106 2882400 90153 2 600 7 0.203676 0.200804 0.258133 0.692359 0.257562 0.434055 0.416396 0.630805 0.198325 0.196477 
10991106 2882400 90153 2 600 8 0.171132 0.193851 0.257983 0.636589 0.257397 0.407386 0.484119 0.635159 0.173688 0.171449 
10991106 2882400 90153 2 600 9 0.157815 0.183717 0.257265 0.635808 0.256565 0.360496 0.447631 0.639156 0.153589 0.158179 
10991106 2882400 90153 2 600 10 0.147493 0.142392 0.256204 0.635477 0.255562 0.358095 0.414402 0.639188 0.140452 0.137722 
10991106 2882400 90153 2 600 11 0.129096 0.144115 0.25219 0.651124 0.254931 0.381136 0.406217 0.636848 0.129876 0.129562 
10991106 2882400 90153 2 600 12 0.117904 0.137159 0.243532 0.632869 0.255406 0.394326 0.380417 0.633417 0.120167 0.121623 
10991106 2882400 90153 2 600 13 0.107835 0.136104 0.254168 0.628661 0.257754 0.309541 0.348888 0.625405 0.104853 0.104929 
10991106 2882400 90153 2 600 14 0.105096 0.135 0.254025 0.636916 0.254874 0.33146 0.383909 0.62962 0.103183 0.102172 
14957956 3922800 122678 2 700 2 0.921675 0.919235 0.922372 0.913785 0.918474 1.09444 0.930918 0.920308 0.919624 0.919677 
14957956 3922800 122678 2 700 3 0.647181 0.642152 0.750885 1.03665 0.749783 0.762797 0.939731 1.05256 0.638411 0.636323 
14957956 3922800 122678 2 700 4 0.477339 0.47833 0.567079 0.945192 0.56589 0.751951 0.846328 0.971725 0.491747 0.499278 
14957956 3922800 122678 2 700 5 0.404645 0.40934 0.403213 1.07021 0.405275 0.779534 0.628027 0.987403 0.40289 0.40352 
14957956 3922800 122678 2 700 6 0.352943 0.386849 0.399198 0.982847 0.400886 0.663459 0.597209 1.08782 0.355974 0.352767 
14957956 3922800 122678 2 700 7 0.305434 0.314185 0.416471 1.00626 0.415813 0.651566 0.604788 1.0026 0.310922 0.306336 
14957956 3922800 122678 2 700 8 0.281816 0.308411 0.422746 1.06427 0.421304 0.664046 0.735085 1.04672 0.294359 0.286983 
14957956 3922800 122678 2 700 9 0.247274 0.317918 0.415842 1.02057 0.413822 0.641227 0.559824 1.02004 0.241381 0.235332 
14957956 3922800 122678 2 700 10 0.225224 0.22205 0.420403 1.11385 0.414884 0.485374 0.559073 1.01754 0.229771 0.22681 
14957956 3922800 122678 2 700 11 0.192391 0.218769 0.411687 1.01364 0.405885 0.525332 0.649579 1.02746 0.193767 0.196109 
14957956 3922800 122678 2 700 12 0.188803 0.218943 0.408302 1.01102 0.409463 0.661062 0.669397 1.02902 0.186965 0.186689 
14957956 3922800 122678 2 700 13 0.177081 0.21118 0.410306 1.00558 0.407003 0.563243 0.571784 1.14469 0.174172 0.177282 
14957956 3922800 122678 2 700 14 0.168667 0.208893 0.406894 1.0428 0.407188 0.526828 0.553872 1.01097 0.169032 0.16816 
19534806 5123200 160203 2 800 2 1.37228 1.36798 1.37424 1.37676 1.36901 1.63215 1.37553 1.35735 1.37673 1.36967 
