63 6 7
NTop NFop NCop DDL Nite Nthr 0.0005 0.001 0.005 0.01 0.05 0.1 0.5
4887406 1281600 40103 2 400 14 0.0308293 0.0305896 0.032069 0.0312498 0.0385382 0.0760189 0.188933 
10991106 2882400 90153 2 600 14 0.103386 0.102829 0.102715 0.104042 0.136822 0.25652 0.635973 
19534806 5123200 160203 2 800 14 0.247045 0.243956 0.243767 0.242953 0.307787 0.601107 1.65795 
30518506 8004000 250253 2 1000 14 0.465132 0.468505 0.470369 0.473068 0.614316 1.17202 3.13374 
68652756 18006000 562878 2 1500 14 1.5157 1.60826 1.5584 1.55512 2.06788 3.17941 9.61015 
122037006 32008000 1000503 2 2000 14 3.78179 3.67539 3.57706 3.66602 4.78736 7.87314 22.1109 
190671256 50010000 1563128 2 2500 14 7.15086 7.01707 7.45582 7.15064 9.51544 16.6122 44.3612 
 


