315 5 5
num_ops num_float_ops num_comp_ops deepest_loop_level num_threads num_lambda_iter t(0.001) t(0.01) t(0.1) t(1) t(1.1)
../functions/dot_product_2.hpp 1213 602 306 2 1213 602 306 2 1213 602 306 2 1213 602 306 2 1213 602 306 2 1 1500 0.00704056 0.00695521 0.00681441 0.00636247 0.006226
../functions/dot_product_2.hpp 1213 602 306 2 1213 602 306 2 1213 602 306 2 1213 602 306 2 1213 602 306 2 2 1500 0.00282997 0.00263665 0.00267974 0.00668898 0.00639558
../functions/dot_product_2.hpp 1213 602 306 2 1213 602 306 2 1213 602 306 2 1213 602 306 2 1213 602 306 2 4 1500 0.00221418 0.00201583 0.00213679 0.00687867 0.00653707
../functions/dot_product_2.hpp 1213 602 306 2 1213 602 306 2 1213 602 306 2 1213 602 306 2 1213 602 306 2 6 1500 0.00147002 0.00126057 0.00144348 0.00669575 0.00635667
../functions/dot_product_2.hpp 1213 602 306 2 1213 602 306 2 1213 602 306 2 1213 602 306 2 1213 602 306 2 8 1500 0.0014182 0.00107975 0.00149377 0.00685681 0.00650725
../functions/dot_product_2.hpp 1213 602 306 2 1213 602 306 2 1213 602 306 2 1213 602 306 2 1213 602 306 2 10 1500 0.00154391 0.00095515 0.00147693 0.00657514 0.00643189
../functions/dot_product_2.hpp 1213 602 306 2 1213 602 306 2 1213 602 306 2 1213 602 306 2 1213 602 306 2 12 1500 0.00133208 0.000750375 0.0014286 0.00683481 0.00659937
../functions/dot_product_2.hpp 1213 602 306 2 1213 602 306 2 1213 602 306 2 1213 602 306 2 1213 602 306 2 14 1500 0.0016338 0.000863028 0.00154342 0.00696821 0.0053226
../functions/dot_product_2.hpp 1213 602 306 2 1213 602 306 2 1213 602 306 2 1213 602 306 2 1213 602 306 2 16 1500 0.00151828 0.00097722 0.00148615 0.00692218 0.00692658
../functions/dot_product_3.hpp 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 1 900 0.00562292 0.00536067 0.00511476 0.00502683 0.00468139
../functions/dot_product_3.hpp 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 2 900 0.00341726 0.00286531 0.00280043 0.00538574 0.00515994
../functions/dot_product_3.hpp 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 4 900 0.00193817 0.0017322 0.00183054 0.00549693 0.00535382
../functions/dot_product_3.hpp 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 6 900 0.00147135 0.00129374 0.00128473 0.00563982 0.00540767
../functions/dot_product_3.hpp 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 8 900 0.00139236 0.00101703 0.00120406 0.00547856 0.00525681
../functions/dot_product_3.hpp 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 10 900 0.00117829 0.000798915 0.00126161 0.00464654 0.00542087
../functions/dot_product_3.hpp 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 12 900 0.0014858 0.000809181 0.00127342 0.00569318 0.0054611
../functions/dot_product_3.hpp 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 14 900 0.00159999 0.000727606 0.00123661 0.00553003 0.00540306
../functions/dot_product_3.hpp 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 2179 1440 729 3 16 900 0.00148273 0.000730191 0.0012466 0.00552396 0.00541738
../functions/dot_product_4.hpp 1447 720 363 3 1447 720 363 3 1447 720 363 3 1447 720 363 3 1447 720 363 3 1 1200 0.00658492 0.00609135 0.00602207 0.00560686 0.00558025
../functions/dot_product_4.hpp 1447 720 363 3 1447 720 363 3 1447 720 363 3 1447 720 363 3 1447 720 363 3 2 1200 0.00271103 0.00248076 0.0024369 0.00373197 0.0037106
../functions/dot_product_4.hpp 1447 720 363 3 1447 720 363 3 1447 720 363 3 1447 720 363 3 1447 720 363 3 4 1200 0.00196366 0.00180798 0.00162709 0.00384113 0.0037224
../functions/dot_product_4.hpp 1447 720 363 3 1447 720 363 3 1447 720 363 3 1447 720 363 3 1447 720 363 3 6 1200 0.00159944 0.00137147 0.0014557 0.00336013 0.00651012
../functions/dot_product_4.hpp 1447 720 363 3 1447 720 363 3 1447 720 363 3 1447 720 363 3 1447 720 363 3 8 1200 0.00156787 0.00102771 0.00155208 0.00758812 0.00382123
../functions/dot_product_4.hpp 1447 720 363 3 1447 720 363 3 1447 720 363 3 1447 720 363 3 1447 720 363 3 10 1200 0.00158658 0.000996286 0.00138607 0.00684326 0.00641667
../functions/dot_product_4.hpp 1447 720 363 3 1447 720 363 3 1447 720 363 3 1447 720 363 3 1447 720 363 3 12 1200 0.00132014 0.000770699 0.00130052 0.00644048 0.00613912
../functions/dot_product_4.hpp 1447 720 363 3 1447 720 363 3 1447 720 363 3 1447 720 363 3 1447 720 363 3 14 1200 0.00188537 0.000833556 0.00156682 0.00657961 0.0069057
../functions/dot_product_4.hpp 1447 720 363 3 1447 720 363 3 1447 720 363 3 1447 720 363 3 1447 720 363 3 16 1200 0.00162926 0.000923651 0.000762387 0.00642365 0.00643336
../functions/dot_product.hpp 402005 200000 101002 2 402005 200000 101002 2 402005 200000 101002 2 402005 200000 101002 2 402005 200000 101002 2 1 10000 6.52492 6.36578 6.34015 6.33611 6.33174
