306 6 6
1213 602 306 2 1 1500 0.0070604 0.00652779 0.00632594 0.00628676 0.00583573 0.0055952
1213 602 306 2 2 1500 0.003875 0.00373574 0.00430348 0.00604288 0.00674527 0.00633537
1213 602 306 2 4 1500 0.00249208 0.00203573 0.00254578 0.00566671 0.00635004 0.00591898
1213 602 306 2 6 1500 0.00147554 0.00131476 0.00192133 0.0059437 0.00642519 0.00612333
1213 602 306 2 8 1500 0.00161843 0.00134179 0.00246239 0.00611873 0.00686093 0.00534076
1213 602 306 2 10 1500 0.00157345 0.00131357 0.00204111 0.00590445 0.00685806 0.00657905
1213 602 306 2 12 1500 0.00141484 0.00158477 0.00207079 0.00605964 0.00691282 0.00629675
1213 602 306 2 14 1500 0.00111697 0.00134305 0.00197176 0.00678075 0.00640647 0.00620442
1213 602 306 2 16 1500 0.00179353 0.00129493 0.0025226 0.00569535 0.00640738 0.00599245
2179 1440 729 3 1 900 0.00550028 0.00528643 0.00516204 0.00474453 0.00471743 0.00454017
2179 1440 729 3 2 900 0.00319894 0.00311681 0.00318609 0.00503612 0.00560169 0.00469781
2179 1440 729 3 4 900 0.00202931 0.00182754 0.0022579 0.00538162 0.00520765 0.00504659
2179 1440 729 3 6 900 0.00151367 0.00182516 0.0033806 0.00537834 0.00544511 0.00502131
2179 1440 729 3 8 900 0.00136449 0.00185792 0.00176705 0.00560274 0.00538113 0.00490684
2179 1440 729 3 10 900 0.0011975 0.00154601 0.00176601 0.00551201 0.00503758 0.00525095
2179 1440 729 3 12 900 0.00129172 0.00184297 0.00176168 0.00553695 0.00541151 0.00503954
2179 1440 729 3 14 900 0.00118074 0.00163394 0.00180777 0.0053914 0.00554631 0.00506789
2179 1440 729 3 16 900 0.00134144 0.000970375 0.00176356 0.00514667 0.00503954 0.00524215
1447 720 363 3 1 1200 0.0068413 0.00655747 0.00649468 0.00611593 0.00596047 0.00575017
1447 720 363 3 2 1200 0.00276481 0.00237586 0.00234569 0.00677977 0.00634054 0.00626567
1447 720 363 3 4 1200 0.00232942 0.00224246 0.00291259 0.00637861 0.00637902 0.0063763
1447 720 363 3 6 1200 0.00169854 0.00151591 0.00220028 0.00637609 0.00611167 0.00595998
1447 720 363 3 8 1200 0.0015106 0.00153413 0.0028938 0.00656885 0.00624842 0.00615448
1447 720 363 3 10 1200 0.00138097 0.00145556 0.00162961 0.0063909 0.00575862 0.00596703
1447 720 363 3 12 1200 0.00166537 0.00158589 0.00295519 0.00791546 0.00616433 0.0059597
1447 720 363 3 14 1200 0.00144118 0.00158791 0.0028167 0.00597988 0.00640975 0.0059525
1447 720 363 3 16 1200 0.0014652 0.000904305 0.00159336 0.00647813 0.00619318 0.00598973
403 200 101 1 1 1000 0.00201164 0.00174883 0.00176943 0.00161068 0.00159615 0.00162074
403 200 101 1 2 1000 0.00115371 0.00107102 0.000930775 0.00159957 0.00158582 0.00157639
403 200 101 1 4 1000 0.000908006 0.000657067 0.000898717 0.00162018 0.00159511 0.0015898
403 200 101 1 6 1000 0.00075694 0.000540781 0.000514731 0.00161801 0.00171509 0.00169931
403 200 101 1 8 1000 0.000814279 0.000499156 0.000926235 0.00162632 0.00161103 0.00160405
403 200 101 1 10 1000 0.000990699 0.000534286 0.000732984 0.00170678 0.00163352 0.000894737
